apps,individual,combined
jstock,25.398,24.38208
antlr,13.446,12.90816
ant ,31.291,30.03936
jedit,17.4549,14.138469
jhotdraw,17.098,13.84938
jparse,6.308,5.10948
javacc,13.2468,10.729908
pmd,17.3968,14.091408
emf,31.0337,25.137297
columba,2.5481,2.063961
xerces,34.4865,27.934065
ganttproject,10.44,11.0664
log4j,4.897,5.19082
jruby,7.32,7.7592
jmeter,23.8791,22.923936
findbugs,9.24,9.78
xalan,14.3756,20.988376
aoi,22.7752,20.1788272
galleon,9.047,8.015642
batik,7.0052,6.2066072
nekohtml,25.0079,22.1569994
cobertura,27.6639,24.5102154
emma,17.4134,11.5973244
sablecc,18.7912,16.6490032
openstack,7.304,6.471344
sentry,7.719,6.839034
tensorflow,7.5115,6.655189
rebound,11.613775,10.28980465
tornado,13.30075,11.7844645
kivy,15.958825,14.13951895
falcon,17.181,15.222366
