app,individual,combined
jstock,-23.22,-23.25
antlr,-16.2,-15.07
ant ,-39.7,-39.6
jedit,-25.6,-25.01
jhotdraw,-19.78,-19.28
jparse,-3.5,-1.95
javacc,-17.1,-17.56
pmd,-24.98,-23.77
emf,-9.02,-7.08
columba,-12.19,-12.17
xerces,-25.7,-25.48
ganttproject,-6.7,-5.17
log4j,-48.99,-48.32
jruby,-12.25,-12.1
jmeter,-35.46,-35.51
findbugs,-14.23,-13.82
xalan,-9,-8.5
aoi,-10.11,-10.9
galleon,-6.7,-8.1
batik,-3.1,-3.9
nekohtml,-3.7,-4.9
cobertura,-3.9,-3.1
emma,-7.8,-7.9
sablecc,-4.1,-6
openstack,-4.1,-4.7
sentry,-1.3,-1.67
tensorflow,-2.7,-3.185
rebound,-10.01,-10.33
tornado,-7.2275,-7.85
kivy,-5.9025,-6.95
falcon,-4.35,-5
